OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
1/1/2020,21/9/2019,SO45080,332,14657,1,1,1
1/1/2020,5/12/2019,SO45079,312,29255,4,1,1
1/1/2020,29/10/2019,SO45082,350,11455,9,1,1
1/1/2020,16/11/2019,SO45081,338,26782,6,1,1
2/1/2020,15/12/2019,SO45083,312,14947,10,1,1
2/1/2020,12/10/2019,SO45084,310,29143,4,1,1
2/1/2020,18/12/2019,SO45086,314,18747,9,1,1
2/1/2020,9/10/2019,SO45085,312,18746,9,1,1
3/1/2020,3/10/2019,SO45093,312,18906,9,1,1
3/1/2020,29/9/2019,SO45090,310,29170,4,1,1
3/1/2020,11/12/2019,SO45088,345,11398,10,1,1
3/1/2020,24/10/2019,SO45092,313,18899,9,1,1
3/1/2020,16/12/2019,SO45089,351,25977,4,1,1
3/1/2020,26/10/2019,SO45091,314,18909,9,1,1
3/1/2020,11/9/2019,SO45087,350,11388,10,1,1
3/1/2020,11/9/2019,SO45094,310,22785,6,1,1
4/1/2020,30/10/2019,SO45096,312,12483,7,1,1
4/1/2020,30/10/2019,SO45097,313,29151,4,1,1
4/1/2020,15/9/2019,SO45098,310,29167,1,1,1
4/1/2020,7/12/2019,SO45095,344,11394,10,1,1
4/1/2020,20/12/2019,SO45099,312,29174,1,1,1
5/1/2020,19/9/2019,SO45101,313,22748,6,1,1
5/1/2020,21/11/2019,SO45100,326,19428,8,1,1
5/1/2020,24/11/2019,SO45102,310,29274,4,1,1
6/1/2020,17/10/2019,SO45104,310,29142,4,1,1
6/1/2020,1/10/2019,SO45108,310,22975,6,1,1
6/1/2020,21/11/2019,SO45105,312,22765,6,1,1
6/1/2020,24/9/2019,SO45103,310,29140,1,1,1
6/1/2020,12/11/2019,SO45106,348,19987,6,1,1
6/1/2020,14/12/2019,SO45107,312,29275,4,1,1
7/1/2020,5/11/2019,SO45109,311,14937,10,1,1
7/1/2020,17/9/2019,SO45112,324,20558,10,1,1
7/1/2020,9/11/2019,SO45111,326,25713,9,1,1
7/1/2020,5/12/2019,SO45110,311,18710,9,1,1
8/1/2020,14/12/2019,SO45119,314,18740,9,1,1
8/1/2020,21/11/2019,SO45117,342,14727,1,1,1
8/1/2020,24/11/2019,SO45116,311,29204,1,1,1
8/1/2020,1/11/2019,SO45114,310,29146,1,1,1
8/1/2020,20/9/2019,SO45115,348,25984,4,1,1
8/1/2020,29/10/2019,SO45118,314,18722,9,1,1
8/1/2020,11/11/2019,SO45113,313,29141,4,1,1
8/1/2020,25/11/2019,SO45120,344,11751,9,1,1
9/1/2020,22/11/2019,SO45124,313,18725,9,1,1
9/1/2020,23/12/2019,SO45122,314,29236,4,1,1
9/1/2020,12/12/2019,SO45123,311,22971,6,1,1
9/1/2020,24/9/2019,SO45121,310,29169,1,1,1
10/1/2020,20/11/2019,SO45129,350,11759,9,1,1
10/1/2020,12/12/2019,SO45127,313,29158,1,1,1
10/1/2020,7/10/2019,SO45128,310,18726,9,1,1
10/1/2020,26/12/2019,SO45126,311,12480,7,1,1
11/1/2020,22/9/2019,SO45136,312,19084,9,1,1
11/1/2020,30/11/2019,SO45130,313,14975,10,1,1
11/1/2020,13/12/2019,SO45134,314,22895,6,1,1
11/1/2020,13/11/2019,SO45138,349,11452,9,1,1
11/1/2020,7/12/2019,SO45132,350,25985,4,1,1
